Haul Truck Template;TimeStamp;Aftercooler Temperature;Air Filter;Boost Pressure;Brake Air Pressure;Brake Stroke;Delta Exhaust Temp Engine Load;Differential Temperature;Engine Coolant Temperature;Engine Fuel Rate;Engine Load;Engine Oil Pressure;Engine RPM;Ground Speed;Hourly Average Delta Exhaust Temp Engine Load;Hourly Average Delta Front Suspension;Hourly Average Delta Rear Suspension;Latitude;Left Exhaust Temperature;Left Front Brake Temperature;Left Front Suspension Cylinder;Left Rear Brake Temperature;Left Rear Suspension Cylinder;Longitude;Name;Operator;Payload;Payload Status;Payload_Count;Payload_Histogram;Payload_Intermediate;Right Exhaust Temperature;Right Front Brake Temperature;Right Front Suspension Cylinder;Right Rear Brake Temperature;Right Rear Suspension Cylinder;Shift Payload Total;Step;Suspension Delta Front Cylinders;Suspension Delta Rear Cylinders;System Voltage;Truck Code
Truck 101;8/22/2021 3:05:52.438 PM;62.67878;6.967697;190.6307;0;0;31.23921;0;89.62094;325.3838;50.03066;448.4649;1932.055;18.4068;39.08632;38.21933;50.14716;48.6611970928116;489.8499;75.66167;3029.24;73.29273;2788.293;87.8617212048419;Truck 101;Ray Emery;209;Hauling;1;640;640;448.7506;73.75758;2947.978;75.48168;2738.412;2998.49584960938;7;68.39503;87.6468;0;101
Truck 101;8/22/2021 3:06:52.438 PM;63.67945;6.997344;190.4554;0;0;28.78241;0;90.55643;324.9733;57.37236;446.3593;1923.124;17.88185;38.93508;38.54768;47.99173;48.6622757011657;494.7882;74.03767;3020.421;74.94546;2767.627;87.8642893952478;Truck 101;Ray Emery;209;Hauling;1;640;640;450.803;72.99211;2981.142;74.71767;2744.079;3002.49584960938;7;71.18898;87.09;0;101
Truck 101;8/22/2021 3:07:52.438 PM;64.62127;7.023729;185.8805;0;0;26.32561;0;90.93581;325.9317;76.03027;453.994;1887.98;17.991;38.78384;38.87604;45.8363;48.6633543095199;502.7479;74.51847;3002.547;74.0573;2765.153;87.8668575856537;Truck 101;Ray Emery;209;Hauling;1;640;640;453.564;72.4409;2997.019;74.86938;2830.01;3006.49584960938;7;73.98294;86.5332;0;101
Truck 101;8/22/2021 3:08:52.438 PM;63.60316;6.985937;187.4952;0;0;23.86881;0;88.84927;319.9166;94.47301;446.4115;1918.206;19.7611;38.63259;39.2044;43.68088;48.6644329178741;488.1153;73.86164;2990.363;74.30125;2723.564;87.8694257760596;Truck 101;Ray Emery;209;Hauling;1;640;640;456.9078;73.7822;2941.781;75.54421;2812.095;3010.49584960938;7;76.77689;85.97639;0;101
Truck 101;8/22/2021 3:09:52.438 PM;63.35234;7.019863;189.9314;0;0;36.40693;0;89.75865;317.2727;99.68107;449.6657;1966.043;16.3972;38.48135;39.53275;41.52545;48.6655115262282;487.2887;74.07761;2992.666;74.50447;2746.985;87.8719939664655;Truck 101;Ray Emery;209;Hauling;1;640;640;450.8305;74.19019;2933.953;74.83065;2715.516;3014.49584960938;7;79.57085;85.41958;0;101
Truck 101;8/22/2021 3:10:52.438 PM;63.53387;6.922844;188.6277;0;0;30.40747;0;89.04983;320.7648;88.26213;452.1367;1933.364;12.58675;38.12493;35.76947;62.62437;48.6665901345824;496.0221;74.16861;3037.529;75.37437;2712.505;87.8745621568714;Truck 101;Ray Emery;209;Hauling;1;640;640;456.0466;72.55281;2975.28;75.43831;2714.362;3018.49584960938;7;82.3648;84.86277;0;101
Truck 101;8/22/2021 3:11:52.438 PM;63.89542;6.979313;189.5869;0;0;27.76027;0;90.2256;318.0588;68.12512;443.099;1888.54;15.47308;37.73893;36.41671;61.48709;48.6676687429366;497.8264;73.90276;3051.128;74.04407;2806.365;87.8771303472773;Truck 101;Ray Emery;209;Hauling;1;640;640;451.4532;73.35314;3008.497;77.35423;2789.311;3022.49584960938;7;85.15876;84.30597;0;101
Truck 101;8/22/2021 3:12:52.438 PM;63.39001;7.107767;185.8082;0;0;25.11306;0;89.71749;324.0705;52.53748;443.9284;1867.999;17.95519;37.35293;37.06395;60.34981;48.6687473512907;492.7511;72.94497;3061.457;73.94963;2809.469;87.8796985376832;Truck 101;Ray Emery;209;Hauling;1;640;640;463.3965;73.82875;3015.53;77.62246;2770.482;3026.49584960938;7;87.95271;83.74916;0;101
Truck 101;8/22/2021 3:13:52.438 PM;63.82167;7.114231;192.1393;0;0;22.46586;0;88.70973;324.2651;51.81414;460.5956;1876.984;19.87038;36.96693;37.71119;59.21253;48.6698259596449;488.6431;72.3033;3095.125;74.44775;2801.343;87.8822667280891;Truck 101;Ray Emery;209;Hauling;1;640;640;453.8282;75.7233;3072.412;76.2573;2712.734;3030.49584960938;7;90.74667;83.19235;0;101
Truck 101;8/22/2021 3:14:52.438 PM;65.50395;7.26403;191.2874;0;0;19.81866;0;89.28288;318.6902;66.43375;463.8059;1879.292;18.12701;36.58093;38.35842;58.07525;48.6709045679991;486.6204;74.48794;3066.662;76.02411;2796.441;87.884834918495;Truck 101;Ray Emery;209;Hauling;1;640;640;459.5192;74.32931;3054.605;75.7213;2678.699;3034.49584960938;7;93.54062;82.63554;0;101
